customerLpid,custcardTokens,riskScore,riskTriggerDate,riskIndicator,transactionAmount,transactionDate,merchantCategory,createdAt
LPID001,TOKEN_4523xxxx,85.50,2026-04-11T10:30:00,HIGH,5000.00,2026-04-11,RETAIL,2026-04-11T10:31:00
LPID002,TOKEN_7891xxxx,45.25,2026-04-11T11:15:00,MEDIUM,1500.00,2026-04-11,GROCERY,2026-04-11T11:16:00
LPID003,TOKEN_3456xxxx,92.75,2026-04-11T12:00:00,HIGH,12000.00,2026-04-11,TRAVEL,2026-04-11T12:01:00
LPID004,TOKEN_1234xxxx,15.50,2026-04-11T13:45:00,LOW,300.00,2026-04-11,ENTERTAINMENT,2026-04-11T13:46:00
LPID005,TOKEN_8765xxxx,55.80,2026-04-11T14:20:00,MEDIUM,2500.00,2026-04-11,UTILITIES,2026-04-11T14:21:00
LPID006,TOKEN_5432xxxx,78.90,2026-04-11T15:30:00,HIGH,8500.00,2026-04-11,RETAIL,2026-04-11T15:31:00
LPID007,TOKEN_9876xxxx,32.15,2026-04-11T16:10:00,LOW,800.00,2026-04-11,DINING,2026-04-11T16:11:00
LPID008,TOKEN_2109xxxx,67.40,2026-04-11T17:00:00,MEDIUM,4200.00,2026-04-11,ONLINE_SHOPPING,2026-04-11T17:01:00
LPID009,TOKEN_6543xxxx,88.25,2026-04-11T17:45:00,HIGH,15000.00,2026-04-11,TRAVEL,2026-04-11T17:46:00
LPID010,TOKEN_4321xxxx,22.10,2026-04-11T18:30:00,LOW,500.00,2026-04-11,ENTERTAINMENT,2026-04-11T18:31:00
LPID011,TOKEN_7654xxxx,72.50,2026-04-11T19:15:00,HIGH,6500.00,2026-04-11,RETAIL,2026-04-11T19:16:00
LPID012,TOKEN_0987xxxx,41.80,2026-04-11T20:00:00,MEDIUM,1200.00,2026-04-11,GROCERY,2026-04-11T20:01:00
LPID013,TOKEN_3210xxxx,95.30,2026-04-11T20:45:00,HIGH,20000.00,2026-04-11,INTERNATIONAL_TRAVEL,2026-04-11T20:46:00
LPID014,TOKEN_8901xxxx,18.75,2026-04-11T21:30:00,LOW,600.00,2026-04-11,ENTERTAINMENT,2026-04-11T21:31:00
LPID015,TOKEN_5678xxxx,58.90,2026-04-11T22:15:00,MEDIUM,3000.00,2026-04-11,UTILITIES,2026-04-11T22:16:00
LPID016,TOKEN_2345xxxx,81.20,2026-04-11T23:00:00,HIGH,9500.00,2026-04-11,RETAIL,2026-04-11T23:01:00
LPID017,TOKEN_9012xxxx,35.45,2026-04-12T00:30:00,LOW,900.00,2026-04-12,DINING,2026-04-12T00:31:00
LPID018,TOKEN_6789xxxx,69.70,2026-04-12T01:15:00,MEDIUM,4800.00,2026-04-12,ONLINE_SHOPPING,2026-04-12T01:16:00
LPID019,TOKEN_3456xxxx,89.15,2026-04-12T02:00:00,HIGH,16000.00,2026-04-12,TRAVEL,2026-04-12T02:01:00
LPID020,TOKEN_0123xxxx,28.55,2026-04-12T02:45:00,LOW,700.00,2026-04-12,ENTERTAINMENT,2026-04-12T02:46:00
LPID021,TOKEN_7890xxxx,74.30,2026-04-12T03:30:00,HIGH,7000.00,2026-04-12,RETAIL,2026-04-12T03:31:00
LPID022,TOKEN_4567xxxx,43.20,2026-04-12T04:15:00,MEDIUM,1400.00,2026-04-12,GROCERY,2026-04-12T04:16:00
LPID023,TOKEN_1234xxxx,91.80,2026-04-12T05:00:00,HIGH,18000.00,2026-04-12,INTERNATIONAL_TRAVEL,2026-04-12T05:01:00
LPID024,TOKEN_8901xxxx,21.90,2026-04-12T05:45:00,LOW,650.00,2026-04-12,ENTERTAINMENT,2026-04-12T05:46:00
LPID025,TOKEN_5678xxxx,60.15,2026-04-12T06:30:00,MEDIUM,3500.00,2026-04-12,UTILITIES,2026-04-12T06:31:00
LPID026,TOKEN_2345xxxx,83.40,2026-04-12T07:15:00,HIGH,10000.00,2026-04-12,RETAIL,2026-04-12T07:16:00
LPID027,TOKEN_9012xxxx,37.65,2026-04-12T08:00:00,LOW,1000.00,2026-04-12,DINING,2026-04-12T08:01:00
LPID028,TOKEN_6789xxxx,71.50,2026-04-12T08:45:00,HIGH,5500.00,2026-04-12,ONLINE_SHOPPING,2026-04-12T08:46:00
LPID029,TOKEN_3456xxxx,86.25,2026-04-12T09:30:00,HIGH,14000.00,2026-04-12,TRAVEL,2026-04-12T09:31:00
LPID030,TOKEN_0123xxxx,31.10,2026-04-12T10:15:00,LOW,750.00,2026-04-12,ENTERTAINMENT,2026-04-12T10:16:00

